gene,module_id,module_qc_label,stability_score,classification
EPRS1,1,LARGE_MODULE_1,0.9527272727272728,core
ERCC3,2,MODULE_2,0.5047058823529412,peripheral
ERCC6,2,MODULE_2,0.8458823529411765,core
ERCC8,2,MODULE_2,0.8458823529411765,core
EXOSC2,4,MODULE_4,0.4527999999999999,peripheral
EYS,0,LARGE_MODULE_0,0.8967741935483872,core
FASTKD2,1,LARGE_MODULE_1,0.9527272727272728,core
FBLN5,1,LARGE_MODULE_1,0.9163636363636365,core
FDX2,7,MODULE_7,0.6900000000000001,peripheral
FDXR,13,MODULE_13,0.07999999999999999,unstable
FLVCR1,1,LARGE_MODULE_1,0.9527272727272728,core
FRMD7,14,MODULE_14,0.8333333333333334,core
FZD4,8,MODULE_8,0.6139130434782608,peripheral
GATAD2B,4,MODULE_4,0.4384,peripheral
GJA1,2,MODULE_2,0.8458823529411765,core
GNAT1,6,MODULE_6,0.9583333333333334,core
GNAT2,15,MODULE_15,0.924,core
GNB1,1,LARGE_MODULE_1,0.7650909090909088,core
GNB3,6,MODULE_6,0.9583333333333334,core
GPR143,5,MODULE_5,0.2992000000000001,unstable
GPR179,6,MODULE_6,0.9583333333333334,core
GRK1,6,MODULE_6,0.9583333333333334,core
GRM6,6,MODULE_6,0.9583333333333334,core
GTPBP2,4,MODULE_4,0.33120000000000005,unstable
GUCA1A,0,LARGE_MODULE_0,0.8967741935483872,core
GUCY2D,0,LARGE_MODULE_0,0.8967741935483872,core
HADHA,7,MODULE_7,0.6900000000000001,peripheral
HESX1,3,MODULE_3,0.7657142857142857,core
HGSNAT,4,MODULE_4,0.0016,unstable
HIKESHI,1,LARGE_MODULE_1,0.9527272727272728,core
HK1,1,LARGE_MODULE_1,0.9527272727272728,core
HMX1,8,MODULE_8,0.6139130434782608,peripheral
HPS1,5,MODULE_5,0.9488000000000001,core
HPS3,5,MODULE_5,0.9488000000000001,core
HPS4,5,MODULE_5,0.9488000000000001,core
HPS5,5,MODULE_5,0.9488000000000001,core
HPS6,5,MODULE_5,0.9488000000000001,core
HSD17B10,7,MODULE_7,0.6900000000000001,peripheral
IBA57,7,MODULE_7,0.6900000000000001,peripheral
IDH3A,0,LARGE_MODULE_0,0.8967741935483872,core
IDH3B,6,MODULE_6,0.9583333333333334,core
IFT140,4,MODULE_4,0.4176,peripheral
IFT172,4,MODULE_4,0.4176,peripheral
IFT27,9,MODULE_9,1.0,core
IFT74,9,MODULE_9,1.0,core
IGFBP7,0,LARGE_MODULE_0,0.8967741935483872,core
IKBKG,2,MODULE_2,0.10235294117647059,unstable
IMPDH1,12,MODULE_12,0.8666666666666669,core
IMPG1,0,LARGE_MODULE_0,0.8967741935483872,core
IMPG2,0,LARGE_MODULE_0,0.8967741935483872,core
INPP5E,11,MODULE_11,0.998,core
IQCB1,12,MODULE_12,0.02933333333333333,unstable
ISCA2,13,MODULE_13,0.9171428571428573,core
JAG1,1,LARGE_MODULE_1,0.0014545454545454547,unstable
KCNJ13,12,MODULE_12,0.8906666666666666,core
KCNV2,0,LARGE_MODULE_0,0.8967741935483872,core
KIAA0586,11,MODULE_11,0.998,core
KIAA1549,0,LARGE_MODULE_0,0.8967741935483872,core
KIF11,8,MODULE_8,0.6139130434782608,peripheral
KIF1A,1,LARGE_MODULE_1,0.9527272727272728,core
KIF3B,0,LARGE_MODULE_0,0.8967741935483872,core
