module_id,module_size,hpo_term,a_in_module_with_term,b_in_module_without_term,c_bg_with_term,d_bg_without_term,p_value,odds_ratio,freq_in_module,freq_in_bg,specificity_ratio,q_value,fdr_significant
10,23,HP:0020119,12,11,3,416,5.734607227019728e-15,151.27272727272728,0.5217391304347826,0.007159904534606206,72.8695652173913,1.8478178842619123e-14,True
10,23,HP:0001711,13,10,6,413,8.237142409751037e-15,89.48333333333333,0.5652173913043478,0.014319809069212411,39.47101449275362,2.612718608092907e-14,True
10,23,HP:0001712,13,10,6,413,8.237142409751037e-15,89.48333333333333,0.5652173913043478,0.014319809069212411,39.47101449275362,2.612718608092907e-14,True
10,23,HP:0007159,10,13,0,419,1.6163192188898986e-14,inf,0.43478260869565216,0.0,434782.60869565216,4.934027089242848e-14,True
10,23,HP:0007327,10,13,0,419,1.6163192188898986e-14,inf,0.43478260869565216,0.0,434782.60869565216,4.934027089242848e-14,True
10,23,HP:0012766,10,13,0,419,1.6163192188898986e-14,inf,0.43478260869565216,0.0,434782.60869565216,4.934027089242848e-14,True
10,23,HP:0025268,10,13,0,419,1.6163192188898986e-14,inf,0.43478260869565216,0.0,434782.60869565216,4.934027089242848e-14,True
10,23,HP:0100027,10,13,0,419,1.6163192188898986e-14,inf,0.43478260869565216,0.0,434782.60869565216,4.934027089242848e-14,True
10,23,HP:0002401,12,11,4,415,2.2393482180054603e-14,113.18181818181819,0.5217391304347826,0.00954653937947494,54.65217391304348,6.78489086947923e-14,True
15,11,HP:0012043,10,1,10,421,2.810804033862017e-14,421.0,0.9090909090909091,0.02320185614849188,39.18181818181818,8.453232872207251e-14,True
5,26,HP:0011869,11,15,1,415,3.2288585139997526e-14,304.3333333333333,0.4230769230769231,0.002403846153846154,176.0,9.639092328558086e-14,True
10,23,HP:0200125,11,12,2,417,3.6024926973355255e-14,191.125,0.4782608695652174,0.00477326968973747,100.19565217391305,1.0676000256337397e-13,True
16,10,HP:0001756,8,2,2,430,5.92471286221656e-14,860.0,0.8,0.004629629629629629,172.8,1.743067697144872e-13,True
